iter	Passed	Remaining
0	92	92723
1	93	46641
2	94	31251
3	94	23560
4	95	18973
5	95	15887
6	96	13681
7	96	12018
8	97	10726
9	97	9692
10	98	8841
11	98	8134
12	99	7540
13	99	7028
14	100	6586
15	100	6196
16	101	5852
17	101	5547
18	102	5275
19	102	5028
20	103	4807
21	103	4607
22	104	4420
23	104	4249
24	104	4093
25	105	3948
26	105	3815
27	106	3692
28	106	3576
29	107	3470
30	107	3368
31	108	3277
32	108	3190
33	109	3110
34	109	3031
35	110	2956
36	110	2885
37	111	2819
38	111	2755
39	112	2693
40	112	2637
41	113	2583
42	113	2532
43	114	2483
44	114	2436
45	115	2391
46	115	2346
47	116	2304
48	116	2263
49	117	2224
50	117	2186
51	117	2150
52	118	2115
53	118	2082
54	119	2051
55	119	2020
56	120	1990
57	120	1961
58	121	1932
59	121	1905
60	122	1878
61	122	1852
62	122	1828
63	123	1805
64	124	1784
65	124	1763
66	125	1742
67	125	1722
68	126	1701
69	126	1681
70	127	1663
71	127	1644
72	128	1625
73	128	1607
74	128	1590
75	129	1572
76	129	1555
77	130	1538
78	130	1522
79	130	1506
80	131	1492
81	131	1477
82	132	1460
83	132	1446
84	133	1432
85	133	1419
86	134	1406
87	134	1392
88	134	1380
89	135	1368
90	135	1356
91	136	1344
92	136	1332
93	137	1321
94	137	1311
95	138	1300
96	138	1289
97	138	1279
98	139	1268
99	139	1259
100	140	1249
101	140	1240
102	141	1231
103	141	1222
104	142	1214
105	142	1205
106	143	1196
107	144	1189
108	144	1181
109	145	1175
110	145	1167
111	146	1160
112	146	1152
113	147	1144
114	147	1136
115	148	1130
116	148	1123
117	149	1116
118	149	1108
119	150	1102
120	150	1095
121	151	1088
122	151	1081
123	152	1075
124	152	1069
125	153	1063
126	153	1056
127	154	1049
128	154	1043
129	155	1037
130	155	1031
131	155	1025
132	157	1025
133	157	1019
134	158	1014
135	158	1008
136	159	1003
137	159	997
138	160	991
139	160	986
140	161	981
141	161	974
142	161	969
143	162	964
144	162	958
145	163	954
146	163	949
147	164	944
148	164	939
149	164	934
150	165	930
151	165	925
152	166	920
153	166	916
154	167	911
155	167	907
156	168	903
157	168	899
158	169	895
159	169	891
160	170	887
161	170	882
162	171	878
163	171	875
164	172	870
165	172	866
166	172	862
167	173	858
168	173	854
169	174	850
170	174	846
171	175	842
172	175	839
173	176	835
174	176	832
175	176	828
176	177	824
177	177	821
178	178	817
179	178	813
180	179	810
181	179	806
182	179	802
183	180	798
184	180	795
185	180	791
186	181	788
187	182	786
188	182	783
189	183	780
190	183	777
191	183	773
192	184	770
193	184	767
194	185	764
195	185	761
196	185	758
197	186	754
198	186	751
199	187	749
200	187	747
201	188	744
202	188	741
203	189	738
204	189	735
205	190	732
206	190	729
207	190	726
208	191	723
209	191	721
210	192	718
211	192	715
212	193	713
213	193	710
214	193	707
215	194	705
216	194	703
217	195	700
218	195	698
219	196	695
220	196	693
221	197	690
222	197	688
223	198	686
224	198	683
225	198	681
226	199	678
227	199	676
228	200	674
229	200	672
230	201	670
231	201	668
232	202	666
233	202	663
234	203	661
235	203	659
236	204	657
237	204	655
238	205	652
239	205	650
240	205	648
241	206	646
242	206	644
243	207	642
244	207	640
245	208	638
246	208	636
247	209	634
248	209	632
249	210	630
250	210	628
251	210	626
252	211	624
253	211	622
254	212	620
255	212	618
256	213	616
257	213	614
258	214	613
259	214	611
260	215	609
261	215	607
262	215	605
263	216	603
264	216	601
265	217	599
266	217	597
267	217	595
268	218	593
269	218	591
270	219	590
271	219	588
272	220	586
273	220	585
274	221	583
275	221	581
276	222	579
277	222	578
278	223	576
279	223	574
280	224	573
281	224	571
282	224	569
283	225	567
284	225	566
285	226	564
286	226	563
287	227	561
288	227	560
289	228	558
290	228	556
291	228	555
292	229	553
293	229	551
294	230	549
295	230	548
296	230	546
297	231	544
298	231	543
299	232	542
300	232	540
301	233	539
302	233	537
303	234	536
304	234	534
305	235	533
306	235	531
307	235	530
308	236	528
309	236	526
310	237	525
311	237	523
312	238	522
313	238	521
314	239	520
315	239	518
316	240	517
317	240	515
318	240	514
319	241	513
320	241	511
321	242	510
322	242	508
323	243	507
324	243	506
325	244	505
326	244	503
327	245	502
328	245	501
329	246	499
330	246	498
331	247	497
332	247	496
333	248	494
334	248	493
335	249	492
336	249	490
337	249	489
338	250	488
339	250	486
340	251	485
341	251	484
342	252	483
343	252	482
344	253	480
345	253	479
346	254	478
347	254	477
348	255	476
349	255	475
350	256	473
351	256	472
352	257	471
353	257	470
354	258	469
355	259	468
356	259	467
357	259	466
358	260	464
359	260	463
360	261	462
361	261	461
362	262	459
363	262	458
364	262	457
365	263	456
366	264	455
367	264	454
368	264	453
369	265	451
370	265	450
371	266	449
372	266	448
373	267	447
374	267	445
375	267	444
376	268	443
377	269	443
378	269	442
379	270	441
380	270	440
381	271	439
382	272	438
383	272	437
384	273	436
385	273	435
386	274	434
387	274	433
388	275	432
389	275	431
390	276	430
391	276	429
392	277	428
393	277	426
394	278	425
395	278	425
396	279	424
397	280	423
398	280	422
399	281	421
400	281	420
